Name,Date,URL,Post,Likes,Comments,Shares,Engagement Score,Reach
Lifebuoy,17/10/2017 05:52,http://www.facebook.com/407422362695986_1232627263508821,"On this Global Handwashing Day Lifebuoy created history along with more than 11,000 Bangladeshi children by aiming for the GUINNESS WORLD RECORDS™ title of Largest Human Image of a Hand.  #High5forHandwashing",221578,1276,2943,1000,2674020
Natura,05/10/2017 16:28,http://www.facebook.com/382381445421_10159557306155422,Viver nas grandes cidades é estar exposta diariamente a fatores que agridem a pele. O novo Concentrado Revitalizante de Chronos traz a exclusiva tecnologia antipoluição e anti-stress para que você tenha uma pele radiante todos os dias. Saiba mais: http://bit.ly/2y3nUTD,20676,1082,2679,788,2619611
O Boticário,09/10/2017 16:00,http://www.facebook.com/140105282727777_1682510575153899,"Quem disse que glamour é pra poucas? Nada disso! Você pode ser super romântica mas ter aquela amiga ultra descolada e vocês duas amarem a mesma fragrância. Glamour é pra todas e não escolhe estilo! ;) Você e sua amiga também tem estilos diferentes mas o mesmo cheirinho favorito? Marca ela nos comentários e conta pra gente! <3??Produto na imagem?Glamour Des.Colônia: http://bit.ly/2xsErBR??#pracegover: Na imagem, o Glamour está sendo agarrado por duas mãos diferentes. Uma tem acessórios mais delicados e a outra é mais estilosa. No canto superior direito temos o texto: ""Glamour é para todas!""",195630,3968,3167,993,2604764
Maybelline Philippines,11/10/2017 08:00,http://www.facebook.com/114944116100_10155624036841101,"HOARD ALERT: Maybelline's having a Big Beauty Blowout! ???????? For as low as P499, you can bring home Maybelline products worth P1,500 to P3,000 with our big beauty buckets! ??Here's all you need to do:??1. Just visit the Maybelline booth on the 2nd Level of Mega Atrium in SM Megamall from Oct 13-15 only.?2. Choose between our mini bucket (P499) or regular bucket (P999).?3. Using the bucket, scoop as many products as you can from our makeup box. ?4. You can get up to P1,500 worth of makeup with the mini bucket and up to P3,000 worth of products with the regular bucket.??Here's a list of FAQs to help you out too:??1. Can I choose which products to get??Here's the thing: you can't pick the products by hand - you'll have to scoop them up with the bucket. But don't worry,  we'll give you 3 CHANCES to do it! :)??2. Are all products included??There are selected participating products you can scoop up!??3. What if the amount of products I scoop is less than what I paid for??You have 3 chances to scoop up products, so you'll  definitely go home a winner! :)??(Per DOH-FDA-CCRR Permit No. 602s. 2017)",28319,53923,11791,1000,2594576
Sensodyne Brasil,27/10/2017 13:01,http://www.facebook.com/220685518049611_1411997678918383,A vida é feita de escolhas! Sensodyne pode ser uma ótima escolha para você! Aperte o play e confira a receita que a Paola Carosella escolheu dividir com a gente hoje.??#escolhasensodyne? ?Receita Ajo Blanco? ?220 g de amêndoas descascadas?50 g de miolo de pão amanhecido?600ml água gelada?4 dentes de alho?200ml de azeite extra-virgem?2 colheres de chá de vinagre de jerez?1 pepino? ?Uvas crimson congeladas para colocar por cima na finalização.? ?Bater todos os ingredientes no liquidificador. Deixar a sopa gelar bem antes de servir. Colocar as uvas crimson congeladas por cima e servir.,37345,1547,4504,1000,2543120
Niely br,01/10/2017 18:00,http://www.facebook.com/363898257018342_1649617945113027,"Testado e aprovado! #NielyDivaDeCrespo é maravilhoso! Manjar perfeito pro day after, junto com a água de coco é uma combinação perfeita! Em outubro, nas lojas, Brasil!?Jeniffer Nascimento",181892,1475,1161,1000,2541724
Veet India,11/10/2017 03:04,http://www.facebook.com/241130119248568_1866666050028292,"The confidence to flaunt your silky smooth skin and be #AlwaysReady is  now in your hands. All you need to do, is #JustVeetIt! Shop now http://amzn.to/2xrm8gh.",70755,763,1167,1000,2531680
ClubGlamrs,03/10/2017 09:30,http://www.facebook.com/319863888091100_1469720096438801,"Tying up your ponytail makes your hair looks short. Here's a quick trick to make it look longer, fuller and voluminous!",27112,224,1693,883,2520169
Manforce Condoms,25/10/2017 09:32,http://www.facebook.com/183424501705984_1617221691659584,Love can take an unfortunate turn if you're careless. ?Indulge in 'safe' sex and #ShutThePhoneUp.??Issued in public interest by Manforce Condoms.,43148,1107,3440,1000,2511961
BlushChannel,28/10/2017 07:00,http://www.facebook.com/964634006880889_1943546535656293,"Every time my mom asks, ""Late kyun hua?""...",8957,12039,3639,1000,2501924
