Tweet,Tweet URL,Created at ,Mentioner,Followers Count
@Dove https://t.co/o4k0YyswPI,http://www.twitter.com/ms_ravirav/status/1069383822196785152,03-12-2018 00:12:26,ms_ravirav,200
@Dove Please check out my project on Donor's Choose. I am looking for support for my kiddos. Thanks.  https://t.co/PdNRo9Kc3X,http://www.twitter.com/jennren79/status/1069380692197498883,02-12-2018 23:59:59,jennren79,168
@thestevebeach @jaketapper That’s a cool idea! Cc: @Dove,http://www.twitter.com/jlcphotother/status/1069371610396712963,02-12-2018 23:23:54,jlcphotother,"5,603"
It's easy to stay fresh with @Dove this Winter. Find out what product will help keep you dry and moisturized all year long!  https://t.co/7SsadvzwWU via @conservamome,http://www.twitter.com/deg_jlr/status/1069369634430820352,02-12-2018 23:16:03,deg_jlr,2
???? GIVEAWAY ????#WIN a personalized My Baby @Dove Gift Set! Giveaway via @yeewittlethings (CAN only) Ends 12/5. #MyBabyDove //www.yeewittlethings.com/2018/11/personalized-my-baby-dove-gift-set.html,http://www.twitter.com/wowcheckitout/status/1069369397066649600,02-12-2018 23:15:06,wowcheckitout,"1,143"
Enter to win @Dove Dry Shampoos at Heck Of A Bunch @partymix25 US #giveaway https://t.co/820OQbqfuc,http://www.twitter.com/mkw70/status/1069368947991031809,02-12-2018 23:13:19,mkw70,"2,537"
Enter to win @Dove Dry Shampoos at Heck Of A Bunch @partymix25 US #giveaway https://t.co/1JapLbV9Cg,http://www.twitter.com/prttlttllrs852/status/1069368215657242624,02-12-2018 23:10:25,prttlttllrs852,9
???? GIVEAWAY ????#WIN a personalized My Baby @Dove Gift Set! Giveaway via @yeewittlethings (CAN only) Ends 12/5. #MyBabyDove //www.yeewittlethings.com/2018/11/personalized-my-baby-dove-gift-set.html,http://www.twitter.com/debbiewbd/status/1069367882507706368,02-12-2018 23:09:05,debbiewbd,145
???? GIVEAWAY ????#WIN a personalized My Baby @Dove Gift Set! Giveaway via @yeewittlethings (CAN only) Ends 12/5. #MyBabyDove //www.yeewittlethings.com/2018/11/personalized-my-baby-dove-gift-set.html,http://www.twitter.com/DowneyK65/status/1069367808146980866,02-12-2018 23:08:48,DowneyK65,901
See the new print campaign for @Dove by @OgilvyGreece: Dove Nourishing Secrets  https://t.co/ZhgXiFsEci https://t.co/VBdisrsRsj,http://www.twitter.com/OliverKiaye/status/1069364474891694080,02-12-2018 22:55:33,OliverKiaye,262
???? GIVEAWAY ????Enter to #WIN a personalized My Baby @Dove Gift Set! Giveaway via @yeewittlethings (CAN only) Ends 12/5. #MyBabyDove //www.yeewittlethings.com/2018/11/personalized-my-baby-dove-gift-set.html,http://www.twitter.com/littlemissjoy77/status/1069363876511342592,02-12-2018 22:53:10,littlemissjoy77,500
See the new print campaign for @Dove by @OgilvyGreece: Dove Nourishing Secrets  https://t.co/VGMSHrja9R https://t.co/dffOBKV5u5,http://www.twitter.com/adsoftheworld/status/1069362929764614145,02-12-2018 22:49:24,adsoftheworld,"188,688"
???? GIVEAWAY ????Enter to #WIN a personalized My Baby @Dove Gift Set! Giveaway via @yeewittlethings (CAN only) Ends 12/5. #MyBabyDove //www.yeewittlethings.com/2018/11/personalized-my-baby-dove-gift-set.html,http://www.twitter.com/imheckifiknow/status/1069356851265851395,02-12-2018 22:25:15,imheckifiknow,52
Everything @Dove like i need a sponsorship lls,http://www.twitter.com/JR_GSP_prod/status/1069353373508476928,02-12-2018 22:11:26,JR_GSP_prod,857
Enter to win @Dove Dry Shampoos at Heck Of A Bunch @partymix25 US #giveaway https://t.co/Wiie49EG3G,http://www.twitter.com/stephcouponsxx/status/1069352186608537603,02-12-2018 22:06:43,stephcouponsxx,"1,384"
It's easy to stay fresh with @Dove this Winter. Find out what product will help keep you dry and moisturized all year long!  https://t.co/v2kIeRkTMG via @conservamome,http://www.twitter.com/DEBIJOT/status/1069351840276451329,02-12-2018 22:05:20,DEBIJOT,"1,144"
